" ","Boys","Girls"
"Viet Nam","13","2"
"Japan","7","3"
"Indonesia","13","5"
"Ukraine","11","5"
"Hong Kong","20","6"
"Korea","19","7"
"Macao","15","8"
"Czech Rep","14","8"
"Netherlands","19","8"
"Taiwan","24","9"
"Austria","20","9"
"Finland","12","9"
"China","15","9"
"USA","28","10"
"Slovak Rep","13","11"
"Belarus","14","11"
"Moldova","6","11"
"Jordan","27","11"
"Switzerland","24","11"
"Romania","13","11"
"Bulgaria","14","11"
"Norway","33","12"
"Poland","14","12"
"Singapore","27","12"
"Latvia","20","12"
"Russia","20","12"
"Germany","23","12"
"Italy","26","12"
"Azerbaijan","13","13"
"Lithuania","18","13"
"Canada","31","14"
"Iceland","21","14"
"Kazakhstan","28","14"
"New Zealand","26","14"
"Thailand","19","14"
"Slovenia","23","15"
"Luxembourg","25","15"
"Malta","27","15"
"Malaysia","38","15"
"Portugal","48","15"
"Estonia","17","15"
"Israel","24","16"
"UAE","31","16"
"Belgium","31","16"
"Croatia","20","17"
"Hungary","27","17"
"Ireland","30","17"
"Denmark","32","17"
"France","33","17"
"Serbia","15","17"
"Montenegro","10","18"
"Brunei","37","18"
"Australia","33","19"
"North Macedonia","14","20"
"UK","28","20"
"Brazil","34","20"
"Sweden","37","20"
"Cyprus","26","22"
"Turkey","33","22"
"Qatar","35","22"
"Chile","38","23"
"Albania","38","23"
"Greece","23","23"
"Lebanon","47","27"
"Argentina","42","27"
