HHID,fetch_water_ga,Year,Dry_Ln_2012_2002_10,Demo_group_Detail,IHS_Distance_Water,Ln_2012_2002_Categ,fetch_water
1013000201,2,2009,0,2,0.39003533,2,8
1013000201,2,2009,0,1,0.39003533,2,8
1013000201,1,2009,0,6,0.39003533,2,8
1013000201,2,2009,0,1,0.39003533,2,8
1013000201,0,2009,0,1,0.39003533,2,8
1013000201,1,2009,0,6,0.39003533,2,8
1013000201,2,2010,0,6,0,3,6
1013000201,2,2010,0,2,0,3,6
1013000201,2,2010,0,6,0,3,6
1013000201,0,2011,0,6,0,4,0
1013000201,0,2011,0,6,0,4,0
1013000204,2,2009,0,5,0,2,3
1013000204,1,2009,0,3,0,2,3
1013000204,0,2009,0,6,0,2,3
1013000204,0,2010,0,6,,3,2
1013000204,2,2010,0,5,,3,2
1013000204,0,2010,0,3,,3,2
1013000204,0,2011,0,3,0,3,0
1013000204,0,2011,0,5,0,3,0
1013000204,0,2011,0,6,0,3,0
1013000206,2,2009,0,5,0,3,2
1013000206,1,2010,0,5,0,3,2
1013000206,1,2010,0,5,0,3,2
1013000206,1,2011,0,5,0,4,5
1013000206,1,2011,0,5,0,4,5
1013000206,3,2011,0,5,0,4,5
1013000210,0,2009,0,5,0.39003533,3,0
1013000210,1,2011,0,5,0,4,1
1021000201,1,2010,0,3,0,3,3
1021000201,2,2010,0,6,0,3,3
1021000201,0,2010,0,4,0,3,3
1021000201,0,2010,0,2,0,3,3
1021000201,0,2010,0,5,0,3,3
1021000202,1,2010,0,5,,2,1
1021000203,4,2010,0,1,0,3,18
1021000203,0,2010,0,4,0,3,18
1021000203,0,2010,0,5,0,3,18
1021000203,7,2010,0,2,0,3,18
1021000203,0,2010,0,5,0,3,18
1021000203,0,2010,0,6,0,3,18
1021000203,7,2010,0,3,0,3,18
1021000203,0,2010,0,2,0,3,18
1021000204,1,2010,0,5,,2,1
1021000207,7,2010,0,6,0,3,15
1021000207,0,2010,0,5,0,3,15
1021000207,4,2010,0,2,0,3,15
1021000207,4,2010,0,4,0,3,15
1021000212,2,2010,0,1,,2,10
1021000212,2,2010,0,2,,2,10
1021000212,3,2010,0,2,,2,10
1021000212,0,2010,0,4,,2,10
1021000212,3,2010,0,6,,2,10
1021000213,0,2010,0,5,,2,0
1021000213,0,2010,0,3,,2,0
1021000213,0,2010,0,4,,2,0
1021000213,0,2010,0,6,,2,0
1021000213,0,2010,0,6,,2,0
1021000213,0,2010,0,4,,2,0
1021000312,0,2009,1,3,0.19869012,1,2
1021000312,2,2009,1,6,0.19869012,1,2
1021000312,0,2010,0,6,0,3,0
1021000312,0,2010,0,1,0,3,0
1021000312,0,2010,0,3,0,3,0
1021000312,0,2011,0,3,0,4,4
1021000312,0,2011,0,1,0,4,4
1021000312,2,2011,0,6,0,4,4
1021000312,2,2011,0,4,0,4,4
1021000313,1,2009,1,5,0.09983408,1,1
1021000313,0,2010,0,5,0,3,0
1021000313,1,2011,0,5,0,5,1
1021000503,1,2009,1,7,0.09983408,1,1
1021000504,2,2009,1,6,0.09983408,1,4
1021000504,0,2009,1,3,0.09983408,1,4
1021000504,2,2009,1,2,0.09983408,1,4
1021000504,0,2009,1,4,0.09983408,1,4
1021000506,0,2009,1,5,0,1,0
1021000506,0,2009,1,6,0,1,0
1021000506,0,2009,1,2,0,1,0
1021000506,0,2009,1,1,0,1,0
1021000506,0,2009,1,1,0,1,0
1021000805,8,2011,0,6,0,5,8
1021000805,0,2011,0,5,0,5,8
1021000807,4,2011,0,6,0.88137358,5,5
1021000807,1,2011,0,5,0.88137358,5,5
1021000810,4,2011,0,6,0,5,8
1021000810,4,2011,0,7,0,5,8
1021000811,2,2011,0,6,0,4,4
1021000811,0,2011,0,5,0,4,4
1021000811,1,2011,0,1,0,4,4
1021000811,1,2011,0,3,0,4,4
1021000904,5,2009,0,4,0.39003533,3,11
1021000904,3,2009,0,1,0.39003533,3,11
1021000904,0,2009,0,6,0.39003533,3,11
1021000904,3,2009,0,4,0.39003533,3,11
1021000904,0,2009,0,5,0.39003533,3,11
1021000904,0,2010,0,5,0,2,3
1021000904,2,2010,0,4,0,2,3
1021000904,0,2010,0,6,0,2,3
1021000904,1,2010,0,1,0,2,3
1021000904,0,2010,0,4,0,2,3
1021000906,0,2009,0,6,0.48121181,3,0
1021000906,0,2009,0,5,0.48121181,3,0
1021000906,0,2010,0,5,0,2,1
1021000906,0,2010,0,4,0,2,1
1021000906,1,2010,0,6,0,2,1
1021000906,2,2011,0,6,0,4,4
1021000906,2,2011,0,5,0,4,4
1021000909,2,2009,0,6,0,3,4
1021000909,2,2009,0,5,0,3,4
1021000909,2,2010,0,6,0,2,2
1021000909,0,2010,0,5,0,2,2
1021001003,3.5,2010,0,3,0,3,12.5
1021001003,0,2010,0,6,0,3,12.5
1021001003,0,2010,0,4,0,3,12.5
1021001003,0,2010,0,4,0,3,12.5
1021001003,2,2010,0,6,0,3,12.5
1021001003,3.5,2010,0,2,0,3,12.5
1021001003,0,2010,0,1,0,3,12.5
1021001003,0,2010,0,7,0,3,12.5
1021001003,0,2010,0,2,0,3,12.5
1021001003,0,2010,0,6,0,3,12.5
1021001003,0,2010,0,2,0,3,12.5
1021001003,3.5,2010,0,3,0,3,12.5
1021001003,0,2011,0,7,0,5,16
1021001003,0,2011,0,3,0,5,16
1021001003,1,2011,0,2,0,5,16
1021001003,5,2011,0,3,0,5,16
1021001003,5,2011,0,2,0,5,16
1021001003,4,2011,0,1,0,5,16
1021001003,1,2011,0,2,0,5,16
1021001004,0,2010,0,3,0,3,0
1021001004,0,2010,0,1,0,3,0
1021001004,0,2010,0,6,0,3,0
1021001004,0,2010,0,5,0,3,0
1021001004,0,2011,0,5,0,4,12
1021001004,6,2011,0,4,0,4,12
1021001004,5,2011,0,6,0,4,12
1021001004,0,2011,0,3,0,4,12
1021001004,1,2011,0,1,0,4,12
1021001007,0,2010,0,5,0.88137358,3,0
1021001007,0,2010,0,6,0.88137358,3,0
1021001007,0,2010,0,1,0.88137358,3,0
1021001007,0,2010,0,3,0.88137358,3,0
1021001007,0,2010,0,1,0.88137358,3,0
1021001007,1,2011,0,1,0,5,7
1021001007,2,2011,0,6,0,5,7
1021001007,0,2011,0,5,0,5,7
1021001007,1,2011,0,2,0,5,7
1021001007,3,2011,0,3,0,5,7
1021001011,0,2010,0,2,0,3,2
1021001011,0,2010,0,4,0,3,2
1021001011,2,2010,0,6,0,3,2
1021001011,1,2011,0,2,0,5,6
1021001011,4,2011,0,6,0,5,6
1021001011,1,2011,0,6,0,5,6
1021001202,0,2011,0,1,0,5,2.5
1021001202,1,2011,0,6,0,5,2.5
1021001202,1,2011,0,6,0,5,2.5
1021001202,0.5,2011,0,6,0,5,2.5
1021001205,2,2011,0,1,0,4,43
1021001205,0,2011,0,2,0,4,43
1021001205,4,2011,0,1,0,4,43
1021001205,0,2011,0,6,0,4,43
1021001205,0,2011,0,6,0,4,43
1021001205,4,2011,0,1,0,4,43
1021001205,4,2011,0,3,0,4,43
1021001205,6,2011,0,1,0,4,43
1021001205,2,2011,0,3,0,4,43
1021001205,4,2011,0,2,0,4,43
1021001205,0,2011,0,6,0,4,43
1021001205,2,2011,0,6,0,4,43
1021001205,0,2011,0,3,0,4,43
1021001205,0,2011,0,6,0,4,43
1021001205,0,2011,0,1,0,4,43
1021001205,5,2011,0,1,0,4,43
1021001205,10,2011,0,2,0,4,43
1021001205,0,2011,0,2,0,4,43
1021001206,0,2011,0,5,0,4,3
1021001206,1,2011,0,3,0,4,3
1021001206,1,2011,0,6,0,4,3
1021001206,1,2011,0,1,0,4,3
1021001208,3,2011,0,5,0,4,4
1021001208,1,2011,0,6,0,4,4
1021001208,0,2011,0,5,0,4,4
1021001210,3,2011,0,4,0,4,8
1021001210,5,2011,0,6,0,4,8
1021001210,0,2011,0,5,0,4,8
1021001210,0,2011,0,2,0,4,8
1021001211,6,2011,0,6,0,4,6
1021001211,0,2011,0,5,0,4,6
1021001402,4,2010,0,1,0,3,4
1021001402,0,2010,0,7,0,3,4
1021001402,0,2010,0,6,0,3,4
1021001403,3,2010,0,6,0,3,3
1021001403,0,2010,0,5,0,3,3
1021001405,2,2010,0,6,0,3,2
1021001405,0,2010,0,5,0,3,2
1021001405,0,2010,0,3,0,3,2
1021001405,0,2010,0,3,0,3,2
1021001406,0,2010,0,2,0,2,4
1021001406,0,2010,0,3,0,2,4
1021001406,2,2010,0,6,0,2,4
1021001406,2,2010,0,5,0,2,4
1021001407,1,2010,0,1,1.8184465,3,10
1021001407,0,2010,0,5,1.8184465,3,10
1021001407,7,2010,0,6,1.8184465,3,10
1021001407,1,2010,0,1,1.8184465,3,10
1021001407,1,2010,0,3,1.8184465,3,10
1021001408,0,2010,0,1,0,2,0
1021001408,0,2010,0,6,0,2,0
1021001408,0,2010,0,2,0,2,0
1021001408,0,2010,0,3,0,2,0
1021001607,0,2010,0,6,0,2,0
1021001607,0,2010,0,3,0,2,0
1021001607,0,2010,0,6,0,2,0
1021001607,0,2010,0,6,0,2,0
1021001607,0,2010,0,5,0,2,0
1021001607,0,2010,0,7,0,2,0
1021001607,0,2010,0,6,0,2,0
1021002008,2,2010,0,6,0,3,6
1021002008,4,2010,0,1,0,3,6
1021002010,0,2010,0,6,0,3,4
1021002010,1,2010,0,6,0,3,4
1021002010,1,2010,0,2,0,3,4
1021002010,2,2010,0,4,0,3,4
1021002010,0,2010,0,7,0,3,4
1021002011,0,2010,0,1,0,2,2
1021002011,1,2010,0,4,0,2,2
1021002011,0,2010,0,1,0,2,2
1021002011,0,2010,0,5,0,2,2
1021002011,0,2010,0,1,0,2,2
1021002011,1,2010,0,6,0,2,2
1021002011,0,2010,0,1,0,2,2
1021002011,0,2010,0,1,0,2,2
1021002013,0,2010,0,2,0,3,14
1021002013,6,2010,0,4,0,3,14
1021002013,0,2010,0,6,0,3,14
1021002013,0,2010,0,5,0,3,14
1021002013,0,2010,0,6,0,3,14
1021002013,4,2010,0,5,0,3,14
1021002013,4,2010,0,2,0,3,14
1021002301,0,2009,0,5,0,2,0
1021002301,0,2009,0,6,0,2,0
1021002301,0,2009,0,5,0,2,0
1021002301,0,2010,0,5,0.88137358,2,0
1021002301,0,2010,0,5,0.88137358,2,0
1021002301,0,2010,0,6,0.88137358,2,0
1021002307,0,2010,0,5,0,2,0
1021002307,0,2010,0,5,0,2,0
1021002308,0,2009,0,5,0,2,0
1021002308,0,2009,0,6,0,2,0
1021002308,0,2009,0,3,0,2,0
1021002308,2,2010,0,6,0.88137358,2,2
1021002308,0,2010,0,5,0.88137358,2,2
